gen,n,shape,raw,comp,ratio,slack,growth_3_8,alphabet,lines,distinct_lines,space_share,run_share,max_run,repeat_count,repeat_wasted,repeat_block,seconds
bfpda,8,dense,2837,276,10.28,2561,39.4,17,1,1,0.0,0.049,6,366,1460,><]>,0.0
bfpda,8,parity,3749,135,27.77,3614,30.5,17,1,1,0.0,0.0,2,510,2036,><]>,0.001
bfstack,3,dense,233,40,5.83,193,,8,1,1,0.0,0.841,48,51,1600,--------------------------------,0.0
bfstack,3,parity,244,45,5.42,199,,8,1,1,0.0,0.828,48,51,1600,--------------------------------,0.0
bfstack,8,dense,1249,126,9.91,1123,5.4,8,1,1,0.0,0.717,128,148,4704,++++++++++++++++++++++++++++++++,0.0
bfstack,8,parity,1259,82,15.35,1177,5.2,8,1,1,0.0,0.647,130,148,4704,++++++++++++++++++++++++++++++++,0.0
bio,3,dense,293,50,5.86,243,,12,1,1,0.01,0.0,0,33,2048,;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy,0.0
bio,3,parity,301,57,5.28,244,,12,1,1,0.01,0.0,0,33,2048,;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy;0oy,0.0
bio,8,dense,3306,177,18.68,3129,11.3,17,1,1,0.002,0.0,0,192,24448,;};};};};};};};};};};};};};};};};};};};};};};};};};};};};};};};},0.0
bio,8,parity,3466,111,31.23,3355,11.5,17,1,1,0.002,0.0,0,192,24448,;};};};};};};};};};};};};};};};};};};};};};};};};};};};};};};};},0.0
bit_tilde,3,dense,308,77,4.0,231,,8,1,1,0.01,0.766,25,61,480,<<<<<<<<,0.0
bit_tilde,3,parity,778,103,7.55,675,,8,1,1,0.015,0.726,50,84,1328,<<<<<<<<<<<<<<<<,0.0
bit_tilde,8,dense,507740,2851,178.09,504889,1648.5,8,1,1,0.001,0.97,2025,124027,15875328,<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<,0.025
bit_tilde,8,parity,547611,2973,184.19,544638,703.9,8,1,1,0.001,0.971,2114,138617,17742848,<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<,0.029
bitdeque,3,dense,194,71,2.73,123,,23,1,1,0.222,0.0,2,12,88, POP POP,0.0
bitdeque,3,parity,386,86,4.49,300,,25,1,1,0.225,0.0,0,24,184, POP POP,0.0
bitdeque,8,dense,12956,786,16.48,12170,66.8,28,1,1,0.221,0.0,4,1050,16784, POP POP POP POP,0.002
bitdeque,8,parity,18637,974,19.13,17663,48.3,28,1,1,0.22,0.0,3,1536,24560, POP POP POP POP,0.002
brainfuck,3,dense,269,56,4.8,213,,8,1,1,0.0,0.77,48,51,1600,--------------------------------,0.0
brainfuck,3,parity,330,64,5.16,266,,8,1,1,0.0,0.609,48,51,1600,--------------------------------,0.0
brainfuck,8,dense,3759,267,14.08,3492,14.0,8,1,1,0.0,0.144,48,136,4320,--------------------------------,0.002
brainfuck,8,parity,4945,149,33.19,4796,15.0,8,1,1,0.0,0.093,48,136,4320,--------------------------------,0.002
brainif,3,dense,1335,223,5.99,1112,,27,89,65,0.154,0.0,2,51,400, increme,0.0
brainif,3,parity,1636,246,6.65,1390,,27,109,73,0.161,0.0,2,107,424,"
if ",0.0
brainif,8,dense,24229,1473,16.45,22756,18.1,27,1608,417,0.183,0.0,3,120,7616,"t
if 48 goto 1606
if 49 goto 1606
if 49 move left
if 0 input
if ",0.001
brainif,8,parity,30016,1839,16.32,28177,18.3,27,1974,569,0.183,0.0,4,511,8160," goto 1972
if 49",0.001
circlefuck,3,dense,375,38,9.87,337,,9,1,1,0.0,0.904,49,71,2240,++++++++++++++++++++++++++++++++,0.0
circlefuck,3,parity,594,44,13.5,550,,9,1,1,0.0,0.896,49,140,4448,++++++++++++++++++++++++++++++++,0.0
circlefuck,8,dense,10964,242,45.31,10722,29.2,9,1,1,0.0,0.849,49,3222,103072,++++++++++++++++++++++++++++++++,0.004
circlefuck,8,parity,14856,171,86.88,14685,25.0,9,1,1,0.0,0.862,49,4480,143328,++++++++++++++++++++++++++++++++,0.004
circlefuck_byte,3,bytes,1017,56,18.16,961,,9,1,1,0.0,0.939,240,422,26944,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,0.001
circlefuck_byte,8,bytes,34899,686,50.87,34213,34.3,9,1,1,0.0,0.941,255,18249,1167872,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,0.006
circuit_diagram,3,dense,418,102,4.1,316,,9,24,19,0.641,0.644,28,106,840,        ,0.0
circuit_diagram,3,parity,2148,246,8.73,1902,,10,61,55,0.671,0.705,52,325,5184,                ,0.0
circuit_diagram,8,dense,609526,15535,39.24,593991,1458.2,10,3982,3965,0.786,0.795,176,118113,1889792,                ,0.05
circuit_diagram,8,parity,632616,15797,40.05,616819,294.5,10,4139,4123,0.786,0.795,170,122870,1965904,                ,0.049
clockwise,3,dense,343,90,3.81,253,,9,35,18,0.536,0.152,7,4,96,"
  .     .
  .     .
  .     .
 ",0.0
clockwise,3,parity,621,111,5.59,510,,9,35,18,0.614,0.288,9,91,360,    ,0.0
clockwise,8,dense,28767,1004,28.65,27763,83.9,9,80,38,0.807,0.636,353,3201,204800,                                                                ,0.003
clockwise,8,parity,40863,466,87.69,40397,65.8,9,80,38,0.829,0.662,505,6036,386240,                                                                ,0.004
cod,3,dense,1504,163,9.23,1341,,15,17,17,0.527,0.724,87,288,9184,                                ,0.0
cod,3,parity,1504,171,8.8,1333,,15,17,17,0.529,0.724,87,288,9184,                                ,0.0
cod,8,dense,3458156,7696,449.34,3450460,2299.3,20,513,513,0.895,0.923,6740,879127,112528128,                                                                ,0.004
cod,8,parity,3458156,7760,445.64,3450396,2299.3,20,513,513,0.895,0.923,6740,879127,112528128,                                                                ,0.004
collatz_multiverse,3,dense,1023,200,5.12,823,,38,29,29,0.198,0.0,2,22,336, = negativeOne x,0.002
collatz_multiverse,3,parity,2419,349,6.93,2070,,39,68,68,0.197,0.0,2,52,816, = negativeOne x,0.0
collatz_multiverse,8,dense,140909,15507,9.09,125402,137.7,39,3710,3710,0.184,0.0,4,2722,43536, = negativeOne x,0.001
collatz_multiverse,8,parity,146856,16140,9.1,130716,60.7,39,3863,3863,0.184,0.0,4,2835,45344, = negativeOne x,0.001
container,3,dense,648,212,3.06,436,,33,78,49,0.088,0.0,0,32,124, T>=,0.0
container,3,parity,684,219,3.12,465,,33,81,52,0.088,0.0,0,32,124, T>=,0.0
container,8,dense,24872,1851,13.44,23021,38.4,34,2522,464,0.09,0.0,3,2173,8688,"
-1 ",0.0
container,8,parity,24941,1862,13.39,23079,36.5,34,2527,469,0.09,0.0,3,2050,8196,"
-1 ",0.0
cvnc,3,dense,489,49,9.98,440,,13,1,1,0.0,0.0,0,68,4288,cicicicicicicicicicicicicicicicicicicicicicicicicicicicicicicici,0.0
cvnc,3,parity,958,52,18.42,906,,11,1,1,0.0,0.0,0,136,8640,cicicicicicicicicicicicicicicicicicicicicicicicicicicicicicicici,0.0
cvnc,8,dense,22158,260,85.22,21898,45.3,13,1,1,0.0,0.0,0,3063,195968,cicicicicicicicicicicicicicicicicicicicicicicicicicicicicicicici,0.002
cvnc,8,parity,30966,294,105.33,30672,32.3,11,1,1,0.0,0.0,0,4352,278464,cicicicicicicicicicicicicicicicicicicicicicicicicicicicicicicici,0.002
decleq,3,dense,1804,331,5.45,1473,,12,1,1,0.26,0.0,3,97,384, 465,0.0
decleq,3,parity,1920,353,5.44,1567,,12,1,1,0.263,0.0,3,103,408, 503,0.0
decleq,8,dense,11501,1570,7.33,9931,6.4,12,1,1,0.242,0.0,3,1381,5520, 277,0.001
decleq,8,parity,14085,1830,7.7,12255,7.3,12,1,1,0.246,0.0,3,920,3676, 345,0.001
dig,3,dense,119,49,2.43,70,,15,15,8,0.496,0.529,15,41,160,    ,0.0
dig,3,parity,274,45,6.09,229,,13,15,6,0.617,0.617,15,75,592,        ,0.0
dig,8,dense,14663,310,47.3,14353,123.2,16,511,17,0.814,0.817,40,6600,105584,                ,0.002
dig,8,parity,21506,231,93.1,21275,78.5,13,511,11,0.834,0.834,40,10319,165088,                ,0.002
dimensional,3,dense,315,61,5.16,254,,9,1,1,0.0,0.61,48,51,1600,--------------------------------,0.0
dimensional,3,parity,404,71,5.69,333,,9,1,1,0.0,0.475,48,51,1600,--------------------------------,0.0
dimensional,8,dense,5555,293,18.96,5262,17.6,9,1,1,0.0,0.078,48,136,4320,--------------------------------,0.002
dimensional,8,parity,7281,174,41.84,7107,18.0,9,1,1,0.0,0.059,48,136,4320,--------------------------------,0.002
dimensional_tree,3,dense,315,61,5.16,254,,9,1,1,0.0,0.61,48,51,1600,--------------------------------,0.0
dimensional_tree,3,parity,404,71,5.69,333,,9,1,1,0.0,0.475,48,51,1600,--------------------------------,0.001
dimensional_tree,8,dense,5555,293,18.96,5262,17.6,9,1,1,0.0,0.078,48,136,4320,--------------------------------,0.002
dimensional_tree,8,parity,7281,174,41.84,7107,18.0,9,1,1,0.0,0.059,48,136,4320,--------------------------------,0.002
dinac,3,dense,183,83,2.2,100,,19,16,16,0.432,0.328,12,36,140,    ,0.0
dinac,3,parity,391,94,4.16,297,,19,28,14,0.54,0.45,12,116,460,    ,0.0
dinac,8,dense,17336,418,41.47,16918,94.7,24,539,39,0.803,0.761,32,5533,88512,                ,0.002
dinac,8,parity,26495,408,64.94,26087,67.8,24,782,34,0.813,0.774,32,9184,146928,                ,0.002
eval,3,dense,80,50,1.6,30,,15,1,1,0.0,0.338,10,12,44,"""""""""",0.322
eval,3,parity,127,51,2.49,76,,15,1,1,0.0,0.173,7,6,40,";!""""~=~?",0.0
eval,8,dense,20445,604,33.85,19841,255.6,20,1,1,0.0,0.903,255,8986,575040,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,0.137
eval,8,parity,35611,633,56.26,34978,280.4,20,1,1,0.0,0.916,255,18528,1185728,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,0.106
factor,3,dense,699,358,1.95,341,,10,1,1,0.0,0.006,4,2,4,7551,0.24
factor,3,parity,939,475,1.98,464,,10,1,1,0.0,0.004,4,3,8,1711,0.001
factor,8,dense,17613,8892,1.98,8721,25.2,10,1,1,0.0,0.004,6,9,32,8511,0.035
factor,8,parity,24113,12083,2.0,12030,25.7,10,1,1,0.0,0.004,5,11,40,2278,0.052
fargo,3,dense,58,33,1.76,25,,9,3,3,0.448,0.0,0,4,12, @ 0,0.0
fargo,3,parity,23,25,0.92,-2,,8,3,3,0.391,0.0,0,2,4, @ 1,0.0
fargo,8,dense,3725,408,9.13,3317,64.2,9,3,3,0.413,0.0,3,68,8576, ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^,0.0
fargo,8,parity,62,36,1.72,26,2.7,8,3,3,0.387,0.0,3,7,24, @ 1,0.0
flowchart,3,dense,434,114,3.81,320,,16,19,14,0.541,0.429,12,93,368,    ,0.0
flowchart,3,parity,800,130,6.15,670,,16,19,14,0.545,0.465,19,212,844,    ,0.0
flowchart,8,dense,39873,1120,35.6,38753,91.9,16,39,29,0.629,0.645,461,3736,478080,                                                                ,0.004
flowchart,8,parity,56633,523,108.28,56110,70.8,16,39,29,0.633,0.656,639,7142,914048,                                                                ,0.003
forbin,3,dense,394,150,2.63,244,,31,19,14,0.178,0.061,4,4,48,"  out 0,0,1,1,0,",0.0
forbin,3,parity,694,179,3.88,515,,31,35,22,0.251,0.161,8,46,180,    ,0.0
forbin,8,dense,15737,707,22.26,15030,39.9,31,708,78,0.432,0.383,18,3982,15924,    ,0.002
forbin,8,parity,23186,611,37.95,22575,33.4,31,1032,72,0.443,0.396,18,6168,24668,    ,0.002
forth,3,dense,63,48,1.31,15,,18,1,1,0.0,0.0,0,4,12,{3F*,0.0
forth,3,parity,119,75,1.59,44,,23,1,1,0.0,0.0,0,8,28,{3F*,0.0
forth,8,dense,5358,1278,4.19,4080,85.0,25,1,1,0.0,0.0,2,184,732,+{3F,0.019
forth,8,parity,8308,1708,4.86,6600,69.8,24,1,1,0.0,0.0,2,264,1052,+{3F,0.008
function_x_y,3,dense,116,80,1.45,36,,32,5,5,0.138,0.0,3,3,16," == ""1"")",0.0
function_x_y,3,parity,188,99,1.9,89,,32,5,5,0.149,0.0,3,7,48," == ""1"")",0.0
function_x_y,8,dense,3254,342,9.51,2912,28.1,37,10,10,0.166,0.015,7,174,1384," == ""1"")",0.002
function_x_y,8,parity,4712,222,21.23,4490,25.1,37,10,10,0.166,0.017,8,255,2032," == ""1"")",0.002
grapheme,3,dense,95,55,1.73,40,,13,1,1,0.0,0.0,2,4,24,FAFFAFRF,0.0
grapheme,3,parity,192,78,2.46,114,,14,1,1,0.0,0.0,2,10,72,FAFFAFRF,0.0
grapheme,8,dense,9943,525,18.94,9418,104.7,14,1,1,0.0,0.0,3,615,4912,FAFFAFRF,0.001
grapheme,8,parity,10347,572,18.09,9775,53.9,15,1,1,0.0,0.0,3,640,5112,FAFFAFRF,0.001
home_row,3,dense,216,68,3.18,148,,12,1,1,0.0,0.269,8,5,128,afffflsfsfflflfak;lffafffflsfsff,0.0
home_row,3,parity,213,70,3.04,143,,12,1,1,0.0,0.272,8,6,80,k;lffafffflsfsff,0.0
home_row,8,dense,5610,197,28.48,5413,26.0,17,1,1,0.0,0.235,128,132,4192,k;lffafffflsfsfflflfak;lffaffffl,0.0
home_row,8,parity,5605,154,36.4,5451,26.3,17,1,1,0.0,0.235,128,131,4160,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.0
inject,3,dense,246,119,2.07,127,,22,40,23,0.053,0.0,0,3,32,";
send one
skip
",0.0
inject,3,parity,441,155,2.85,286,,26,68,31,0.057,0.0,0,15,56,"
ski",0.0
inject,8,dense,9586,1860,5.15,7726,39.0,28,1252,380,0.055,0.0,3,349,1392,"
ski",0.002
inject,8,parity,14163,2609,5.43,11554,32.1,28,1819,542,0.055,0.0,3,511,2040,"
ski",0.002
interprogck8,3,dense,993,129,7.7,864,,18,213,9,0.0,0.0,2,25,384,"
@id
@id
@id
@id",0.0
interprogck8,3,parity,2625,184,14.27,2441,,18,583,9,0.0,0.0,2,91,1440,"
@id
@id
@id
@id",0.001
interprogck8,8,dense,88306,2798,31.56,85508,88.9,18,19837,9,0.0,0.0,2,1672,53472,"
@id
@id
@id
@id
@id
@id
@id
@id",0.082
interprogck8,8,parity,124329,2556,48.64,121773,47.4,18,27761,9,0.0,0.0,2,4265,68224,"
@id
@id
@id
@id",0.063
jaune,3,dense,41,39,1.05,2,,12,1,1,0.0,0.0,0,4,12,^+2?,0.0
jaune,3,parity,80,62,1.29,18,,17,1,1,0.0,0.0,0,8,28,^+2?,0.0
jaune,8,dense,2252,840,2.68,1412,54.9,19,1,1,0.0,0.004,8,180,716,^+2?,0.002
jaune,8,parity,3265,1154,2.83,2111,40.8,19,1,1,0.0,0.002,8,256,1020,^+2?,0.002
jaune_multiply,0,fixed,101,80,1.26,21,,18,1,1,0.0,0.257,9,12,44,&&&&,0.0
lamfunc,3,dense,72,51,1.41,21,,12,1,1,0.347,0.0,0,3,8,vs v,0.0
lamfunc,3,parity,120,61,1.97,59,,12,1,1,0.375,0.0,0,7,24, i v,0.0
lamfunc,8,dense,2179,245,8.89,1934,30.3,17,1,1,0.411,0.0,0,174,692, i v,0.001
lamfunc,8,parity,3151,147,21.44,3004,26.3,17,1,1,0.413,0.0,0,255,1016, i v,0.001
laserfuck,3,dense,268,88,3.05,180,,19,4,4,0.578,0.623,52,40,1248,                                ,0.002
laserfuck,3,parity,547,109,5.02,438,,19,8,8,0.691,0.713,57,139,4416,                                ,0.002
laserfuck,8,dense,22993,889,25.86,22104,85.8,19,180,180,0.777,0.778,107,6548,419008,                                                                ,0.002
laserfuck,8,parity,32895,1078,30.51,31817,60.1,19,256,256,0.784,0.784,107,9671,618880,                                                                ,0.002
minifuck,3,dense,216,46,4.7,170,,10,1,1,0.0,0.343,27,27,416,[x[x[x[x[x[x[x[x,0.021
minifuck,3,parity,250,50,5.0,200,,10,1,1,0.0,0.404,33,35,544,<<<<<<<<<<<<<<<<,0.001
minifuck,8,dense,50653,474,106.86,50179,234.5,15,1,1,0.0,0.322,854,9583,1226496,[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x,1.861
minifuck,8,parity,54341,512,106.13,53829,217.4,15,1,1,0.0,0.323,854,9751,1248000,[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x[x,1.96
minsky_swap,3,dense,139,63,2.21,76,,17,2,2,0.396,0.0,2,7,48, 58 58 5,0.0
minsky_swap,3,parity,140,63,2.22,77,,16,2,2,0.393,0.0,0,5,64, 57 57 57 57 57 ,0.0
minsky_swap,8,dense,5242,674,7.78,4568,37.7,18,2,2,0.332,0.0,3,296,37760, 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 2956 295,0.0
minsky_swap,8,parity,5223,581,8.99,4642,37.3,18,2,2,0.332,0.0,3,295,37632, 2949 2949 2949 2949 2949 2949 2949 2949 2949 2949 2949 2949 294,0.0
modulous,3,dense,242,75,3.23,167,,20,1,1,0.161,0.0,0,11,40, INT,0.0
modulous,3,parity,496,89,5.57,407,,21,1,1,0.167,0.0,0,14,104,][JMP F ,0.0
modulous,8,dense,11726,348,33.7,11378,48.5,26,1,1,0.173,0.0,2,94,2976,][POP][PSH INT 1][PRT INT][END][,0.001
modulous,8,parity,16304,268,60.84,16036,32.9,24,1,1,0.173,0.0,3,510,4072,][JMP F ,0.001
myscript,3,dense,229,96,2.39,133,,21,16,16,0.45,0.349,12,50,196,    ,0.0
myscript,3,parity,517,108,4.79,409,,21,32,14,0.532,0.464,12,162,644,    ,0.0
myscript,8,dense,23519,467,50.36,23052,102.7,26,705,39,0.781,0.758,32,7584,121328,                ,0.001
myscript,8,parity,35947,482,74.58,35465,69.5,26,1029,34,0.792,0.77,32,12560,200944,                ,0.001
nevermind,3,dense,244,103,2.37,141,,24,22,17,0.172,0.131,6,11,40,    ,0.0
nevermind,3,parity,498,113,4.41,385,,24,42,15,0.257,0.225,6,40,156,    ,0.0
nevermind,8,dense,18035,480,37.57,17555,73.9,26,887,40,0.584,0.583,16,4587,36688,        ,0.002
nevermind,8,parity,27301,431,63.34,26870,54.8,26,1292,35,0.601,0.6,16,7616,60920,        ,0.001
nocomment,3,dense,363,97,3.74,266,,14,1,1,0.0,0.689,38,23,352,iiiiiiiiiiiiiiii,0.0
nocomment,3,parity,373,102,3.66,271,,14,1,1,0.0,0.686,38,23,352,iiiiiiiiiiiiiiii,0.0
nocomment,8,dense,8038,308,26.1,7730,22.1,19,1,1,0.0,0.875,282,1730,221312,llllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll,0.001
nocomment,8,parity,8040,214,37.57,7826,21.6,19,1,1,0.0,0.856,282,1731,221440,llllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll,0.001
one_two_three,3,dense,142,53,2.68,89,,7,1,1,0.0,0.711,20,28,216,11111111,0.0
one_two_three,3,parity,160,58,2.76,102,,7,1,1,0.0,0.713,19,25,192,11111111,0.0
one_two_three,8,dense,219937,1019,215.84,218918,1548.9,11,1,1,0.0,0.993,4608,80129,10256384,1111111111111111111111111111111111111111111111111111111111111111,0.124
one_two_three,8,parity,222847,1068,208.66,221779,1392.8,11,1,1,0.0,0.993,4608,80489,10302464,1111111111111111111111111111111111111111111111111111111111111111,0.063
packlang,3,dense,535,181,2.96,354,,39,36,28,0.406,0.269,10,63,248,    ,0.0
packlang,3,parity,337,158,2.13,179,,39,24,20,0.332,0.196,6,21,80,    ,0.0
packlang,8,dense,21043,796,26.44,20247,39.3,43,1183,76,0.566,0.435,20,5655,22616,    ,0.001
packlang,8,parity,697,198,3.52,499,2.1,43,49,35,0.354,0.224,6,8,224," ^ 48 Then {
      INCR acc;
   ",0.0
painfuck,3,dense,349,157,2.22,192,,21,1,1,0.0,0.0,0,6,160,uydlahiqbostcuydlahiqbostcuydlah,0.0
painfuck,3,parity,429,204,2.1,225,,21,1,1,0.0,0.0,0,6,160,uydlahiqbostcuydlahiqbostcuydlah,0.0
painfuck,8,dense,4982,1641,3.04,3341,14.3,21,1,1,0.0,0.0,0,23,352,ahiqbostcuydlahi,0.003
painfuck,8,parity,6552,1843,3.56,4709,15.3,21,1,1,0.0,0.0,0,23,352,ahiqbostcuydlahi,0.003
pct_squared_minus_one,3,dense,42,46,0.91,-4,,15,3,3,0.0,0.0,2,2,4,|'i;,0.175
pct_squared_minus_one,3,parity,44,48,0.92,-4,,15,3,3,0.0,0.0,2,0,0,,0.003
pct_squared_minus_one,8,dense,40121,642,62.49,39479,955.3,20,3,3,0.0,0.976,1708,25064,3208064,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,0.064
pct_squared_minus_one,8,parity,9029,130,69.45,8899,205.2,19,3,3,0.0,0.987,536,5476,700800,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,0.058
point_break,3,dense,164,104,1.58,60,,36,16,16,0.11,0.0,2,13,48,LET ,0.0
point_break,3,parity,292,121,2.41,171,,36,28,19,0.103,0.0,2,25,96,LET ,0.0
point_break,8,dense,12153,579,20.99,11574,74.1,43,1129,39,0.093,0.0,2,984,7864,"
LET s:=",0.001
point_break,8,parity,12640,641,19.72,11999,43.3,43,1174,39,0.093,0.0,2,1024,8184,"
LET s:=",0.001
polynomial,3,dense,6785,3479,1.95,3306,,19,1,1,0.018,0.012,11,33,128,0000,0.004
polynomial,3,parity,10715,5451,1.97,5264,,19,1,1,0.013,0.012,14,49,192,0000,0.001
polynomial,8,dense,3383048,1587678,2.13,1795370,498.6,19,1,1,0.001,0.006,152,141,560,7741,0.376
polynomial,8,parity,92727,44809,2.07,47918,8.7,19,1,1,0.004,0.009,29,311,2480,00000000,0.009
qoibl,3,dense,334,98,3.41,236,,8,10,10,0.287,0.036,4,20,76, ry ,0.0
qoibl,3,parity,633,113,5.6,520,,8,16,13,0.294,0.025,4,48,188, qe ,0.0
qoibl,8,dense,26038,566,46.0,25472,78.0,8,264,142,0.289,0.048,4,861,13760, qe ry ye ry qe ,0.001
qoibl,8,parity,27070,603,44.89,26467,42.8,8,274,147,0.289,0.049,4,896,14320, qe ry ye ry qe ,0.001
ram0,3,dense,99,58,1.71,41,,17,1,1,0.414,0.0,0,7,24, Z A,0.0
ram0,3,parity,165,78,2.12,87,,18,1,1,0.424,0.0,0,9,32, Z A,0.0
ram0,8,dense,5484,771,7.11,4713,55.4,20,1,1,0.409,0.001,4,461,3680, A A A A,0.002
ram0,8,parity,8260,1072,7.71,7188,50.1,20,1,1,0.41,0.0,3,794,6344, A A A A,0.002
